BODY FRAME,TOES,BODY HAIR,TEETH ALIGNMENT,DIALY LIFE,WORK,WORK NATURE,SLEEP CYCLE,WEATHER,SKIN TEXTURE,Dominant_Dosha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Long tapering fingers/toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Vata
Thin and unusually tall or short,Long tapering fingers/toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Vata
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
